date,phc_id,state,district,city,latitude,longitude,medicine,medicine_category,patient_count,opd_count,ipd_count,disease_cases,mortality,opening_stock,received_quantity,dispensed_quantity,closing_stock,current_stock,daily_consumption,supply_lead_time,incoming_supply,bed_occupancy,medicine_availability,temperature,rainfall,humidity,vaccination_coverage,previous_7_day_demand,previous_30_day_demand,next_7_day_demand,future_stock_min,stock_out
2023-01-19,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,129,116,13,30,0,181,0,56,125,125,56,3,0,0.5230731944387168,1.0,26.81150768557194,3.431693232651947,26.99201448476196,0.6737633349955067,344.0,877.0,339.0,486.0,0
2023-01-20,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,45,40,5,17,0,125,700,42,783,783,42,3,700,0.21839136741963777,1.0,25.848069774980416,4.309210116405068,27.486097678113993,0.74838000814383,359.0,933.0,351.0,432.0,0
2023-01-21,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,95,85,10,29,0,783,0,61,722,722,61,4,0,0.5441630918829874,1.0,25.95233958683746,2.0029629871111188,38.02915965911424,0.8814306533525273,349.0,975.0,330.0,392.0,0
2023-01-22,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,57,51,6,12,0,722,0,40,682,682,40,3,0,0.34719244913702296,1.0,20.881896424109577,4.000187291173186,49.54168055938126,0.8207281945716771,355.0,1036.0,352.0,330.0,0
2023-01-23,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,76,68,8,23,0,682,0,51,631,631,51,4,0,0.45021089107309537,1.0,38.559988100816355,1.5001709107672434,42.485538082868445,0.766788798523248,338.0,1076.0,338.0,293.0,0
2023-01-24,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,88,79,9,17,0,631,0,59,572,572,59,5,0,0.42319628816937166,1.0,37.337796613869784,1.298845610058383,34.412263202771555,0.8378550480089395,347.0,1127.0,327.0,245.0,0
2023-01-25,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,95,85,10,28,0,572,0,43,529,529,43,3,0,0.547305232952431,1.0,32.27683372420046,3.2456547594978753,26.981553429178334,0.9113713571983771,348.0,1186.0,323.0,206.0,0
2023-01-26,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,101,90,11,22,0,529,0,43,486,486,43,3,0,0.5290499984231455,1.0,28.912562422092,4.782972154946935,54.73030601965652,0.9174755679441275,352.0,1229.0,314.0,172.0,0
2023-01-27,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,52,46,6,9,0,486,0,54,432,432,54,4,0,0.34353677803764027,1.0,21.8465381816362,1.5843912084778062,31.654254111776794,0.72710769408765,339.0,1272.0,307.0,125.0,0
2023-01-28,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,102,91,11,38,0,432,0,40,392,392,40,1,0,0.4576142423326204,1.0,27.419671826210195,0.91943099551692,20.924043692660305,0.6584186627638783,351.0,1326.0,323.0,125.0,0
2023-01-29,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,100,90,10,39,0,392,0,62,330,330,62,4,0,0.5236204343367731,1.0,43.103809851115415,2.3659289832574775,22.153017528761897,0.6295089433281975,330.0,1366.0,297.0,125.0,0
2023-01-30,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,73,65,8,25,0,330,0,37,293,293,37,4,0,0.4261678616486087,1.0,24.281119606499956,1.2369825965759613,31.36701120232356,0.9011290860946873,352.0,1428.0,295.0,125.0,0
2023-01-31,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,66,59,7,25,0,293,0,48,245,245,48,5,0,0.36271632972107665,1.0,29.015804300080582,4.354491365722721,57.3943028665824,0.7597901971702772,338.0,1465.0,311.0,125.0,0
2023-02-01,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,113,101,12,18,0,245,0,39,206,206,39,1,0,0.5538883644922673,1.0,28.04932114261235,3.198932544869492,41.35136524130741,0.7442713319579695,327.0,1452.0,332.0,125.0,0
2023-02-02,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,57,51,6,5,0,206,0,34,172,172,34,4,0,0.3536349014241749,1.0,15.002770391847841,4.076898945804441,53.917859535306825,0.7669734746580099,323.0,1445.0,342.0,125.0,0
2023-02-03,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,68,61,7,24,0,172,0,47,125,125,47,4,0,0.3149854564879665,1.0,38.93894328763841,2.98501876112876,51.87069535470545,0.8502282940446677,314.0,1421.0,333.0,492.0,0
2023-02-04,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,83,74,9,23,0,125,700,56,769,769,56,3,700,0.40893572100432096,1.0,21.617772786985398,0.3960486658751733,45.01292057024294,0.8269599643351466,307.0,1426.0,335.0,434.0,0
2023-02-05,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,55,49,6,15,0,769,0,36,733,733,36,1,0,0.3147304536330664,1.0,27.38711629539742,4.26741011695802,27.296287160105713,0.6657263048904039,323.0,1424.0,336.0,397.0,0
2023-02-06,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,44,39,5,10,0,733,0,35,698,698,35,4,0,0.20901969831487813,1.0,44.0914865288818,0.11065442807739911,58.893304199657884,0.6051536964085165,297.0,1411.0,362.0,336.0,0
2023-02-07,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,78,70,8,15,0,698,0,64,634,634,64,1,0,0.4722630466772173,1.0,24.347300556091664,3.997311759680351,59.91853784662398,0.6196134205406625,295.0,1394.0,343.0,291.0,0
2023-02-08,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,46,41,5,4,0,634,0,60,574,574,60,2,0,0.27146825212907966,1.0,31.295758516374256,0.9080186930370437,55.82795913265326,0.7346792647237246,311.0,1417.0,311.0,263.0,0
2023-02-09,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,100,90,10,39,0,574,0,44,530,530,44,1,0,0.5362884640115706,1.0,37.12857037660525,0.16755145785137537,38.43338541249119,0.7092382779544244,332.0,1443.0,318.0,212.0,0
2023-02-10,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,66,59,7,13,0,530,0,38,492,492,38,4,0,0.37333726980157456,1.0,37.341737360675836,2.747899723087484,24.885660485420445,0.940645921152271,342.0,1428.0,340.0,152.0,0
2023-02-11,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,40,36,4,4,0,492,0,58,434,434,58,3,0,0.2226780192200848,1.0,24.735404628902906,0.8368017820414303,31.044001753537913,0.7663447375665775,333.0,1433.0,324.0,110.0,0
2023-02-12,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,86,77,9,33,0,434,0,37,397,397,37,5,0,0.37080942042737847,1.0,38.123910000058984,1.243611282024475,39.996768263400064,0.7244311863601298,335.0,1450.0,335.0,110.0,0
2023-02-13,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,134,120,14,43,0,397,0,61,336,336,61,3,0,0.6828412914670472,1.0,38.74398733095639,0.629137288326132,29.306985234242543,0.6675378546675554,336.0,1435.0,324.0,110.0,0
2023-02-14,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,96,86,10,25,0,336,0,45,291,291,45,4,0,0.5133403467932741,1.0,36.73197473616872,1.253481205503011,21.579541708619033,0.7902671904987293,362.0,1441.0,313.0,110.0,0
2023-02-15,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,65,58,7,9,0,291,0,28,263,263,28,5,0,0.31686889764536047,1.0,23.259733885749093,4.156747966955599,56.57896007912184,0.7284894474515888,343.0,1429.0,341.0,110.0,0
2023-02-16,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,121,108,13,20,0,263,0,51,212,212,51,5,0,0.6911552485187532,1.0,26.371307089997323,0.9276714504857497,20.748794263522207,0.7886347825576916,311.0,1415.0,337.0,110.0,0
2023-02-17,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,50,45,5,9,0,212,0,60,152,152,60,2,0,0.2658891030152737,1.0,35.496725476730425,3.8286704775492773,26.165260557245983,0.6153220421993559,318.0,1408.0,339.0,110.0,0
2023-02-18,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,34,30,4,11,0,152,0,42,110,110,42,3,0,0.20206570900915294,1.0,41.20478332741717,1.0103951434439107,39.41481148946781,0.8454599075511493,340.0,1429.0,352.0,458.0,0
2023-02-19,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,122,109,13,46,0,110,700,48,762,762,48,4,700,0.6416953772922247,1.0,21.621683524389628,3.5892259728489058,20.523444393340057,0.8236208507511397,324.0,1415.0,359.0,403.0,0
2023-02-20,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,85,76,9,27,0,762,0,50,712,712,50,1,0,0.3740283674748885,1.0,39.66079548800036,3.9712478856903974,22.332000977886604,0.6755650221273702,335.0,1421.0,362.0,350.0,0
2023-02-21,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,68,61,7,19,0,712,0,34,678,678,34,5,0,0.38488721011683213,1.0,36.75515798427567,2.658305257012363,27.578416524267027,0.7453146100874091,324.0,1410.0,367.0,311.0,0
2023-02-22,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,96,86,10,14,0,678,0,56,622,622,56,4,0,0.4675025741123138,1.0,25.738900976142112,2.293602962141872,46.609694190941745,0.6553617595647659,313.0,1404.0,351.0,271.0,0
2023-02-23,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,138,124,14,30,0,622,0,47,575,575,47,5,0,0.7913233930114131,1.0,43.00559908576103,4.512424853263608,42.003253695804766,0.7132078220169594,341.0,1409.0,361.0,214.0,0
2023-02-24,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,58,52,6,13,0,575,0,62,513,513,62,5,0,0.32715759340047496,1.0,21.417844081311614,3.8285410981714243,57.045876903706294,0.9440347649124916,337.0,1397.0,357.0,156.0,0
2023-02-25,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,107,96,11,20,0,513,0,55,458,458,55,5,0,0.6475365393738316,1.0,19.0525712803182,4.451622787931623,20.26275315890728,0.8878181103362515,339.0,1416.0,347.0,111.0,0
2023-02-26,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,26,23,3,3,0,458,0,55,403,403,55,1,0,0.1549293423815922,1.0,31.689692565203053,4.629612251058662,26.188591448750238,0.681547951993982,352.0,1428.0,340.0,111.0,0
2023-02-27,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,29,26,3,7,0,403,0,53,350,350,53,1,0,0.1739414458079316,1.0,32.11461478467247,2.845324684600599,28.6974912089902,0.8459967631971936,359.0,1429.0,331.0,111.0,0
2023-02-28,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,67,60,7,7,0,350,0,39,311,311,39,1,0,0.3287102289734106,1.0,32.856936076787406,1.501966269216373,49.23157447825109,0.8859995950162898,362.0,1442.0,345.0,111.0,0
2023-03-01,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,66,59,7,21,0,311,0,40,271,271,40,2,0,0.32266967500309396,1.0,41.0935954236366,1.1335883568107579,46.111167326414034,0.6144137882572471,367.0,1419.0,365.0,111.0,0
2023-03-02,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,107,96,11,41,0,271,0,57,214,214,57,4,0,0.566556067847017,1.0,24.804948829651238,3.488843262970342,26.127899304187242,0.6315290333906558,351.0,1422.0,357.0,111.0,0
2023-03-03,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,99,89,10,17,0,214,0,58,156,156,58,4,0,0.4868982222286241,1.0,19.44037201975041,1.6808408902043515,39.03418617589491,0.8442546806904025,361.0,1431.0,353.0,111.0,0
2023-03-04,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,44,39,5,14,0,156,0,45,111,111,45,5,0,0.2071643980341085,1.0,31.77888531940621,2.439305499021664,46.089937559166756,0.8718701645770892,357.0,1450.0,369.0,442.0,0
2023-03-05,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,53,47,6,14,0,111,700,48,763,763,48,4,700,0.27657826170556715,1.0,17.687839443802055,3.3587377672486767,36.9416240946256,0.9456781709373052,347.0,1461.0,393.0,370.0,0
2023-03-06,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,50,45,5,7,0,763,0,44,719,719,44,5,0,0.20858144395975153,1.0,33.695464688349915,2.202317120316533,56.96852827613709,0.8588535705140852,340.0,1462.0,407.0,312.0,0
2023-03-07,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,26,23,3,3,0,719,0,53,666,666,53,2,0,0.12136488690907213,1.0,42.801890853273214,4.343761758224843,52.80535825719985,0.6731533393934708,331.0,1450.0,411.0,255.0,0
2023-03-08,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,102,91,11,31,0,666,0,60,606,606,60,3,0,0.5228534673769853,1.0,31.392726419105948,3.751775743762329,41.95200219244549,0.9171141001003602,345.0,1467.0,403.0,203.0,0
2023-03-09,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,69,62,7,20,0,606,0,49,557,557,49,3,0,0.33441032061317705,1.0,20.1095894113429,1.4200677052399535,51.56753978029688,0.6949586326781181,365.0,1492.0,425.0,132.0,0
2023-03-10,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,78,70,8,16,0,557,0,54,503,503,54,5,0,0.335936593894806,1.0,40.928468206798605,0.09539161967097087,54.69641771417925,0.7104095892580728,357.0,1477.0,419.0,132.0,0
2023-03-11,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,85,76,9,9,0,503,0,61,442,442,61,1,0,0.4148869541290591,1.0,17.640620064679695,0.9943760000411722,58.6716548973281,0.7714764959193016,353.0,1471.0,397.0,132.0,0
2023-03-12,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,55,49,6,13,0,442,0,72,370,370,72,1,0,0.31509508364589156,1.0,25.403397087226363,1.759565411335905,45.009238810040415,0.9075370459669061,369.0,1488.0,361.0,132.0,0
2023-03-13,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,55,49,6,7,0,370,0,58,312,312,58,2,0,0.302486141288822,1.0,43.32410094624892,4.74558209181554,29.023307905110173,0.8372982137974868,393.0,1522.0,356.0,132.0,0
2023-03-14,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,57,51,6,13,0,312,0,57,255,255,57,2,0,0.31829671752921623,1.0,27.520000094255984,2.864492764798893,37.05859988049781,0.8033607452323573,407.0,1522.0,341.0,132.0,0
2023-03-15,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,64,57,7,25,0,255,0,52,203,203,52,3,0,0.30032133528495164,1.0,40.87762984740205,1.5449919808109136,48.205455511404026,0.9265604812480173,411.0,1542.0,342.0,132.0,0
2023-03-16,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,47,42,5,6,0,203,0,71,132,132,71,3,0,0.23186874455223372,1.0,17.034421240688925,2.6648077349588855,48.777620231624624,0.9405136122920665,403.0,1533.0,327.0,505.0,0
2023-03-17,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,105,94,11,35,0,132,700,48,784,784,48,3,700,0.4806442292464049,1.0,28.29013461148956,4.668842621955965,55.76520372535211,0.8668566193065379,425.0,1559.0,331.0,453.0,0
2023-03-18,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,38,34,4,4,0,784,0,39,745,745,39,3,0,0.1707269302024392,1.0,33.1681353376157,3.0618101071905848,43.85442770486549,0.8961483825866067,419.0,1579.0,339.0,406.0,0
2023-03-19,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,35,31,4,7,0,745,0,36,709,709,36,2,0,0.2340348066507928,1.0,20.519294333188853,1.937301437983125,38.95387683436653,0.9325693148714707,397.0,1567.0,346.0,363.0,0
2023-03-20,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,138,124,14,34,0,709,0,53,656,656,53,1,0,0.6881125802436794,1.0,37.733297691768875,0.33068162117444677,57.08412824711176,0.6863743443015552,361.0,1543.0,358.0,298.0,0
2023-03-21,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,74,66,8,20,0,656,0,42,614,614,42,1,0,0.42262301191780927,1.0,33.237898737638844,4.121642573936811,48.80803653982207,0.8464393926815834,356.0,1554.0,363.0,251.0,0
2023-03-22,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,122,109,13,26,0,614,0,53,561,561,53,1,0,0.6650022469514865,1.0,28.548287776909863,4.135050508296749,21.696636640363913,0.7806443390831794,341.0,1548.0,361.0,200.0,0
2023-03-23,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,91,81,10,13,0,561,0,56,505,505,56,4,0,0.583806563995103,1.0,20.69551019918457,2.197769373582299,55.375903041527906,0.8414835354755772,342.0,1551.0,346.0,159.0,0
2023-03-24,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,38,34,4,14,0,505,0,52,453,453,52,2,0,0.170824533935229,1.0,39.89680513279919,2.258490439148277,48.90587165971333,0.7447457567841658,327.0,1573.0,344.0,109.0,0
2023-03-25,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,92,82,10,18,0,453,0,47,406,406,47,1,0,0.5422939491219613,1.0,28.610422072630108,4.483087536418228,55.83179628906608,0.6573979094731148,331.0,1569.0,353.0,109.0,0
2023-03-26,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,72,64,8,24,0,406,0,43,363,363,43,2,0,0.47196062226283514,1.0,18.42494816472233,2.246992090123609,34.517735566290185,0.7325375209944028,339.0,1569.0,378.0,109.0,0
2023-03-27,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,44,39,5,6,0,363,0,65,298,298,65,4,0,0.24195816912357673,1.0,42.36758336466397,2.8274578925708456,46.38121362408175,0.7083314069029436,346.0,1550.0,373.0,109.0,0
2023-03-28,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,95,85,10,31,0,298,0,47,251,251,47,5,0,0.49952552148015955,1.0,23.663416123342408,0.9034801318330304,55.941676536670634,0.7745247840153083,358.0,1560.0,356.0,109.0,0
